7zip 25.01-1
aalib 1.4rc5-19
abseil-cpp 20250814.1-1
accountsservice 23.13.9-2
acl 2.3.2-1
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
ags-hyprpanel-git r614.6385f2e-1
alsa-card-profiles 1:1.4.9-2
alsa-lib 1.2.14-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.14-2
alsa-utils 1.2.14-1
aom 3.13.1-1
apg 2.2.3-5
apg-debug 2.2.3-5
apparmor 4.1.2-1
appmenu-glib-translator-git 25.04.r6.g6665f77-1
appmenu-glib-translator-git-debug 25.04.r6.g6665f77-1
appstream 1.1.1-1
aquamarine 0.10.0-1
archlinux-keyring 20251116-1
at-spi2-core 2.58.2-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.1.2-1
autoconf 2.72-1
autoconf-archive 1:2024.10.16-3
automake 1.18.1-1
autoricer-bin 0.1.1-1
autoricer-bin-debug 0.1.1-1
avahi 1:0.9rc2-1
avizo 1.3-1
avizo-debug 1.3-1
aylurs-gtk-shell-git 2.3.0.r78.g0603f82-1
aylurs-gtk-shell-git-debug 2.3.0.r78.g0603f82-1
base 3-2
base-devel 1-2
bash 5.3.3-2
bash-completion 2.17.0-1
batsignal 1.8.0-2
bc 1.08.2-1
bcprov 1.83-1
bibata-cursor-theme-bin 2.0.7-1
binutils 2.45.1-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluez 5.85-1
bluez-libs 5.85-1
bluez-utils 5.85-1
bmon 4.0-5
breeze-icons 6.20.0-1
bridge-utils 1.7.1-2
brightnessctl 0.5.1-3
brotli 1.1.0-3
btop 1.4.5-1
bubblewrap 0.11.0-1
byobu 6.13-1
bzip2 1.0.8-6
c-ares 1.34.5-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.118.1-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
capstone 5.0.6-1
cblas 3.12.1-2
ccze 0.2.1-13
ccze-debug 0.2.1-13
cdparanoia 10.2-9
check 0.15.2-3
cinnamon-desktop 6.4.2-1
clang 21.1.6-1
cliphist 1:0.7.0-1
cmake 4.2.0-1
cmatrix 2.0-4
color-git 1:7adc9d56-1
compiler-rt 21.1.6-1
confuse 3.3-4
containerd 2.2.0-1
coreutils 9.9-1
cpio 2.15-3
cppdap 1.58.0-2
cpupower 6.17-2
cryptsetup 2.8.1-1
curl 8.17.0-2
dart-sass 1.94.2-1
dav1d 1.5.2-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-units 37-2
dconf 0.49.0-1
debugedit 5.2-1
default-cursors 3-1
dejagnu 1.6.3-15
desktop-file-utils 0.28-1
device-mapper 2.03.37-1
diffutils 3.12-2
dkms 3.3.0-1
dmidecode 3.6-1
dnsmasq 2.91-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:29.1.1-1
dosfstools 4.2-5
dotconf 1.4.1-1
double-conversion 3.3.1-1
doxygen 1.15.0-1
dtc 1.7.2-4
duktape 2.7.0-7
dunst 1.13.0-1
e2fsprogs 1.47.3-2
edk2-ovmf 202508-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2.1-1
egl-wayland 4:1.1.20-1
egl-x11 1.0.3-1
eglexternalplatform 1.2.1-1
ell 0.81-1
enchant 2.8.12-2
exempi 2.6.6-2
expat 2.7.3-1
expect 5.45.4-5
eza 0.23.4-1
fakeroot 1.37.1.2-1
fastfetch 2.55.1-1
fd 10.3.0-1
feroxbuster 2.11.0-1
feroxbuster-debug 2.11.0-1
ffmpeg 2:8.0.1-1
ffmpeg4.4 4.4.6-3
fftw 3.3.10-7
figlet 2.2.5-6
file 5.46-5
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox 145.0.2-1
flac 1.5.0-1
flex 2.6.4-5
flite 2.2-2
fmt 12.1.0-1
fontconfig 2:2.17.1-1
freeglut 3.8.0-1
freetype2 2.14.1-1
fribidi 1.0.16-2
fuse-common 3.17.4-1
fuse2 2.9.9-5
fuse3 3.17.4-1
fzf 0.67.0-1
gammastep 2.0.11-1
gawk 5.3.2-1
gc 8.2.10-2
gcc 15.2.1+r301+gf24307422d1d-1
gcc-ada 15.2.1+r301+gf24307422d1d-1
gcc-d 15.2.1+r301+gf24307422d1d-1
gcc-libs 15.2.1+r301+gf24307422d1d-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdbm 1.26-1
gdk-pixbuf2 2.44.4-1
gettext 0.26-1
ghostscript 10.06.0-1
ghostty 1.2.3-2
ghostty-shell-integration 1.2.3-2
ghostty-terminfo 1.2.3-2
giflib 5.2.2-2
git 2.52.0-2
git-lfs 3.7.1-1
github-cli 2.83.1-1
gjs 2:1.86.0-1
glew 2.2.0-7
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.86.2-1
glib2-devel 2.86.2-1
glib2-docs 2.86.2-1
glibc 2.42+r33+gde1fe81f4714-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glslang 1:1.4.328.1-1
glu 9.0.3-2
glycin 2.0.7-1
gmp 6.3.0-2
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.8-3
gnutls 3.8.11-2
go 2:1.25.4-1
gobject-introspection 1.86.0-1
gobject-introspection-runtime 1.86.0-1
google-cloud-cli 548.0.0-1
google-cloud-cli-gsutil 548.0.0-1
gperftools 2.17.2-1
gpgme 2.0.1-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27-1
graphene 1.10.8-2
graphite 1:1.3.14-5
graphviz 14.0.5-1
greetd 0.10.3-1
greetd-agreety 0.10.3-1
greetd-tuigreet 0.9.1-1
grep 3.12-2
grim 1.5.0-2
groff 1.23.0-7
grub 2:2.14rc1.r54.g29f3131a-2
gsettings-desktop-schemas 49.1-1
gsettings-system-schemas 49.1-1
gsfonts 20200910-6
gsm 1.0.23-1
gssdp 1.6.4-1
gst-plugins-bad-libs 1.26.9-1
gst-plugins-base 1.26.9-1
gst-plugins-base-libs 1.26.9-1
gst-plugins-good 1.26.9-1
gstreamer 1.26.9-1
gtest 1.17.0-1
gtk-doc 1.35.1-1
gtk-layer-shell 0.10.0-1
gtk-update-icon-cache 1:4.20.3-1
gtk-vnc 1.5.0-1
gtk3 1:3.24.51-1
gtk4 1:4.20.3-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.20.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gts 0.7.6.121130-5
guile 3.0.10-1
gum 0.17.0-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gvfs 1.58.0-2
gvfs-gphoto2 1.58.0-2
gvfs-mtp 1.58.0-2
gzip 1.14-2
harfbuzz 12.2.0-2
harfbuzz-icu 12.2.0-2
heroic-games-launcher-bin 2.17.2-1
hicolor-icon-theme 0.18-1
